
2025-11-25 21:29:50,732 - [RAMAF] Evicting (1, '10.0.3.10', '10.0.10.10', 6, 35408, 5001) rate=6.08Mbps (> 3.86Mbps)
2025-11-25 21:29:50,738 - [RAMAF] Evicting (1, '10.0.3.10', '10.0.10.10', 6, 35366, 5001) rate=5.66Mbps (> 3.86Mbps)
2025-11-25 21:29:50,741 - [RAMAF] Evicting (1, '10.0.3.10', '10.0.10.10', 6, 35410, 5001) rate=6.02Mbps (> 3.86Mbps)
2025-11-25 21:29:50,743 - [RAMAF] Evicting (1, '10.0.1.10', '10.0.10.10', 6, 48242, 5001) rate=5.79Mbps (> 3.86Mbps)
2025-11-25 21:29:50,748 - [RAMAF] Evicting (1, '10.0.1.10', '10.0.10.10', 6, 48176, 5001) rate=6.04Mbps (> 3.86Mbps)
2025-11-25 21:29:50,752 - [RAMAF] Evicting (1, '10.0.2.10', '10.0.10.10', 6, 46390, 5001) rate=5.93Mbps (> 3.86Mbps)
2025-11-25 21:29:50,755 - [RAMAF] Evicting (1, '10.0.3.10', '10.0.10.10', 6, 35362, 5001) rate=5.80Mbps (> 3.86Mbps)
2025-11-25 21:29:50,762 - [RAMAF] Evicting (1, '10.0.4.10', '10.0.20.10', 6, 41680, 5001) rate=6.40Mbps (> 3.86Mbps)
2025-11-25 21:29:50,764 - [RAMAF] Evicting (1, '10.0.4.10', '10.0.10.10', 6, 53994, 5001) rate=5.98Mbps (> 3.86Mbps)
2025-11-25 21:29:50,769 - [RAMAF] Evicting (1, '10.0.2.10', '10.0.10.10', 6, 46358, 5001) rate=5.83Mbps (> 3.86Mbps)
2025-11-25 21:29:50,791 - [RAMAF] Evicting (1, '10.0.4.10', '10.0.10.10', 6, 54054, 5001) rate=5.81Mbps (> 3.86Mbps)
2025-11-25 21:29:50,794 - [RAMAF] Evicting (1, '10.0.1.10', '10.0.10.10', 6, 48148, 5001) rate=6.05Mbps (> 3.86Mbps)
2025-11-25 21:29:50,801 - [RAMAF] Evicting (1, '10.0.2.10', '10.0.10.10', 6, 46282, 5001) rate=6.00Mbps (> 3.86Mbps)
2025-11-25 21:29:50,805 - [RAMAF] Congested -> evicted 20 flows
2025-11-25 21:29:52,625 - [RAMAF] Reinstalled flow-table entry for (1, '10.0.2.10', '10.0.10.10', 6, 46312, 5001)
2025-11-25 21:29:52,629 - [RAMAF] Network healthy -> re-admitted flow (1, '10.0.2.10', '10.0.10.10', 6, 46312, 5001)
2025-11-25 21:29:54,014 - [RAMAF] Reinstalled flow-table entry for (1, '10.0.3.10', '10.0.10.10', 6, 35460, 5001)
2025-11-25 21:29:54,017 - [RAMAF] Network healthy -> re-admitted flow (1, '10.0.3.10', '10.0.10.10', 6, 35460, 5001)
2025-11-25 21:29:55,520 - [RAMAF] Reinstalled flow-table entry for (1, '10.0.2.10', '10.0.10.10', 6, 46344, 5001)
2025-11-25 21:29:55,520 - [RAMAF] Network healthy -> re-admitted flow (1, '10.0.2.10', '10.0.10.10', 6, 46344, 5001)
2025-11-25 21:29:57,123 - [RAMAF] Reinstalled flow-table entry for (1, '10.0.2.10', '10.0.10.10', 6, 46542, 5001)
2025-11-25 21:29:57,124 - [RAMAF] Network healthy -> re-admitted flow (1, '10.0.2.10', '10.0.10.10', 6, 46542, 5001)
2025-11-25 21:29:58,655 - [RAMAF] Congested: fair_rate=3.21Mbps priority_load=0.03
2025-11-25 21:29:58,657 - [RAMAF] Evicting (1, '10.0.1.10', '10.0.10.10', 6, 48418, 5001) rate=6.59Mbps (> 3.85Mbps)
2025-11-25 21:29:58,663 - [RAMAF] Evicting (1, '10.0.3.10', '10.0.10.10', 6, 35460, 5001) rate=6.46Mbps (> 3.85Mbps)
2025-11-25 21:29:58,671 - [RAMAF] Evicting (1, '10.0.2.10', '10.0.10.10', 6, 46382, 5001) rate=6.64Mbps (> 3.85Mbps)
2025-11-25 21:29:58,680 - [RAMAF] Evicting (1, '10.0.2.10', '10.0.10.10', 6, 46542, 5001) rate=6.57Mbps (> 3.85Mbps)
2025-11-25 21:29:58,686 - [RAMAF] Evicting (1, '10.0.3.10', '10.0.10.10', 6, 35318, 5001) rate=6.65Mbps (> 3.85Mbps)
2025-11-25 21:29:58,689 - [RAMAF] Evicting (1, '10.0.2.10', '10.0.10.10', 6, 46336, 5001) rate=6.60Mbps (> 3.85Mbps)
2025-11-25 21:29:58,698 - [RAMAF] Evicting (1, '10.0.3.10', '10.0.10.10', 6, 35484, 5001) rate=6.64Mbps (> 3.85Mbps)
2025-11-25 21:29:58,708 - [RAMAF] Evicting (1, '10.0.1.10', '10.0.10.10', 6, 48170, 5001) rate=6.76Mbps (> 3.85Mbps)
2025-11-25 21:29:58,716 - [RAMAF] Evicting (1, '10.0.3.10', '10.0.10.10', 6, 35408, 5001) rate=6.66Mbps (> 3.85Mbps)
2025-11-25 21:29:58,722 - [RAMAF] Evicting (1, '10.0.2.10', '10.0.10.10', 6, 46556, 5001) rate=6.43Mbps (> 3.85Mbps)
2025-11-25 21:29:58,726 - [RAMAF] Evicting (1, '10.0.1.10', '10.0.10.10', 6, 48094, 5001) rate=6.63Mbps (> 3.85Mbps)
2025-11-25 21:29:58,732 - [RAMAF] Evicting (1, '10.0.1.10', '10.0.10.10', 6, 48434, 5001) rate=6.65Mbps (> 3.85Mbps)
2025-11-25 21:29:58,738 - [RAMAF] Evicting (1, '10.0.3.10', '10.0.10.10', 6, 35472, 5001) rate=6.55Mbps (> 3.85Mbps)
2025-11-25 21:29:58,743 - [RAMAF] Evicting (1, '10.0.4.10', '10.0.20.10', 6, 41680, 5001) rate=6.49Mbps (> 3.85Mbps)
2025-11-25 21:29:58,750 - [RAMAF] Evicting (1, '10.0.4.10', '10.0.10.10', 6, 53994, 5001) rate=6.65Mbps (> 3.85Mbps)
2025-11-25 21:29:58,756 - [RAMAF] Evicting (1, '10.0.2.10', '10.0.10.10', 6, 46358, 5001) rate=5.75Mbps (> 3.85Mbps)
2025-11-25 21:29:58,761 - [RAMAF] Evicting (1, '10.0.4.10', '10.0.10.10', 6, 54054, 5001) rate=6.49Mbps (> 3.85Mbps)
2025-11-25 21:29:58,795 - [RAMAF] Evicting (1, '10.0.2.10', '10.0.10.10', 6, 46282, 5001) rate=6.49Mbps (> 3.85Mbps)
2025-11-25 21:29:58,802 - [RAMAF] Congested -> evicted 18 flows
2025-11-25 21:30:00,718 - [RAMAF] Reinstalled flow-table entry for (1, '10.0.3.10', '10.0.10.10', 6, 35318, 5001)
2025-11-25 21:30:00,721 - [RAMAF] Network healthy -> re-admitted flow (1, '10.0.3.10', '10.0.10.10', 6, 35318, 5001)
2025-11-25 21:30:02,107 - [RAMAF] Reinstalled flow-table entry for (1, '10.0.2.10', '10.0.10.10', 6, 46336, 5001)
2025-11-25 21:30:02,111 - [RAMAF] Network healthy -> re-admitted flow (1, '10.0.2.10', '10.0.10.10', 6, 46336, 5001)
2025-11-25 21:30:03,744 - [RAMAF] Reinstalled flow-table entry for (1, '10.0.1.10', '10.0.10.10', 6, 48102, 5001)
2025-11-25 21:30:03,746 - [RAMAF] Network healthy -> re-admitted flow (1, '10.0.1.10', '10.0.10.10', 6, 48102, 5001)
